Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Currency (product.metafields.shopify.currency),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / États-Unis,Price / États-Unis,Compare At Price / États-Unis,Status
escales-mediterranee,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,29.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Recharges eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,46.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Recharges eSIM,,,10 Gb / 30 jours,,,,,,0.0,,0,continue,manual,62.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
escales-mediterranee,,,,,,,,,Recharges eSIM,,,20 Gb / 30 jours,,,,,,0.0,,0,continue,manual,115.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,Croisière Asie,"<p><strong>Forfaits croisières + escales disponibles avec les compagnies suivante :</strong></p>
<blockquote>
<h5><em>Aroya Cruises, Azamara, Carnival Cruise Line, Celebrity Cruises, CFC, Cordelia Cruises, Disney CruiseLine,</em></h5>
<h5><em>Explora Journeys, Fred Olsen Cruise Line, Hapag-Lloyd Cruises, Holland America Line, Japan Grace, </em></h5>
<h5><em>MSC Cruises, Norwegian Cruise Line, Oceania Cruises, P&amp;O Ferries Cruises, Princess Cruises, Regent Seven Seas Cruises, Ritz-Carlton Yacht Collection, Royal Caribbean International, Seabourn, Silversea Cruises, TUI Cruises, Virgin Voyages, Windstar Cruises</em></h5>
<p><strong><em>Destinations couvertes :</em></strong></p>
<p><strong><em><span>Australie, Chine, Hong-Kong, Indonésie, Japon, Malaisie, Nouvelle-Zélande, Philippines, Singapour, Corée du sud, Taiwan, Thaïlande, Vietnam</span></em></strong></p>
</blockquote>
<p> </p>
<p><strong><em>Point Important : Veuillez prendre note que lors de l'utilisation d'une eSIM Croisière, dans un zone de 22km des cotes, la connexion peut s'avérer faible ou inexistante. En effet, à l'approche des côtes, le navire doit désactiver le ''Wifi en mer'' et la connexion terrestre peut s'avérer faible. Votre connexion se rétablira a l'arrivée au port ou une fois votre navire a plus de 22km des côtes. </em></strong></p>
<blockquote>
<p> </p>
</blockquote>
<p><strong>Type de forfait</strong><em><strong> :  eSIM de données. Aucun numéro de téléphone attribué.</strong></em></p>
<p><strong>Période d'achat : <em>30 jours avant l'activation maximum</em></strong></p>
<p><strong>Début de la période de validité : <em>Première connexion au réseau de destination</em></strong></p>
<p><strong>Appareils compatible : <em>Voir la liste <a rel=""noopener"" title=""Appareils compatibles eSIM"" href=""https://quebecesim.ca/pages/appareils-compatibles"" target=""_blank"">ici</a></em></strong></p>
<p><strong>Rechargeable :<em> Oui</em></strong></p>
<p><strong>Point d'accès Wifi : <em>Oui</em></strong></p>
<p> </p>
<p> </p>
<h5><strong style=""font-size: 14px;""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/4g.webp?v=1765312682"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></strong></h5>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/file_000000001cd471f592603fa03a3a041e.png?v=1783314168,1,"",false,Quebecesim / Forfaits eSIM pour vos voyages!,"Quebecesim.ca : Découvrez l'ensemble des forfaits eSIM pour plus de 150 destinations avec Québecesim! Forfaits mondials, régions du monde et par pays.",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
croisiere-asie,,,,,,,,,Forfaits eSIM,,,2 Gb / 10 jours,,,,,,0.0,,0,continue,manual,99.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,137.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,,,,,,,,,Forfaits eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,229.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,,,,,,,,,Recharges eSIM,,,2 Gb / 10 jours,,,,,,0.0,,0,continue,manual,99.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,137.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-asie,,,,,,,,,Recharges eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,229.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,Croisière Méditerranée,"<p><strong>Forfaits croisières + escales disponibles avec les compagnies suivante :</strong></p>
<blockquote>
<h5><em>Aroya Cruises, Azamara, Carnival Cruise Line, Celebrity Cruises, CFC, Cordelia Cruises, Disney CruiseLine,</em></h5>
<h5><em>Explora Journeys, Fred Olsen Cruise Line, Hapag-Lloyd Cruises, Holland America Line, Japan Grace, </em></h5>
<h5><em>MSC Cruises, Norwegian Cruise Line, Oceania Cruises, P&amp;O Ferries Cruises, Princess Cruises, Regent Seven Seas Cruises, Ritz-Carlton Yacht Collection, Royal Caribbean International, Seabourn, Silversea Cruises, TUI Cruises, Virgin Voyages, Windstar Cruises</em></h5>
<p><strong><em>Destinations couvertes :</em></strong></p>
<p><strong><em><span>Albanie, Algérie, Croatie, Espagne, France, Grèce, Italie, Maroc, Monténégro, Portugal, Tunisie, Turquie</span></em></strong></p>
</blockquote>
<p> </p>
<p><strong><em>Point Important : Veuillez prendre note que lors de l'utilisation d'une eSIM Croisière, dans un zone de 22km des cotes, la connexion peut s'avérer faible ou inexistante. En effet, à l'approche des côtes, le navire doit désactiver le ''Wifi en mer'' et la connexion terrestre peut s'avérer faible. Votre connexion se rétablira a l'arrivée au port ou une fois votre navire a plus de 22km des côtes. </em></strong></p>
<blockquote>
<p> </p>
</blockquote>
<p><strong>Type de forfait</strong><em><strong> :  eSIM de données. Aucun numéro de téléphone attribué.</strong></em></p>
<p><strong>Période d'achat : <em>30 jours avant l'activation maximum</em></strong></p>
<p><strong>Début de la période de validité : <em>Première connexion au réseau de destination</em></strong></p>
<p><strong>Appareils compatible : <em>Voir la liste <a rel=""noopener"" title=""Appareils compatibles eSIM"" href=""https://quebecesim.ca/pages/appareils-compatibles"" target=""_blank"">ici</a></em></strong></p>
<p><strong>Rechargeable :<em> Oui</em></strong></p>
<p><strong>Point d'accès Wifi : <em>Oui</em></strong></p>
<p> </p>
<p> </p>
<h5><strong style=""font-size: 14px;""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/4g.webp?v=1765312682"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></strong></h5>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/file_00000000e27471f5b89a96829d0ac3d5.png?v=1783313877,1,"",false,Quebecesim / Forfaits eSIM pour vos voyages!,"Quebecesim.ca : Découvrez l'ensemble des forfaits eSIM pour plus de 150 destinations avec Québecesim! Forfaits mondials, régions du monde et par pays.",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
croisiere-europe,,,,,,,,,Forfaits eSIM,,,2 Gb / 10 jours,,,,,,0.0,,0,continue,manual,99.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,137.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,,,,,,,,,Forfaits eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,229.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,,,,,,,,,Recharges eSIM,,,2 Gb / 10 jours,,,,,,0.0,,0,continue,manual,99.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,137.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-europe,,,,,,,,,Recharges eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,229.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
cuba,Cuba,"<p><strong>Forfaits eSIM de données. Aucun numéro de téléphone attribué.</strong></p>
<p><strong>Début de la période de validité: Première connexion au réseau de destination.</strong></p>
<p><strong>Appareils compatible : Voir la liste <a href=""https://quebecesim.ca/pages/appareils-compatibles"" title=""Appareils compatibles eSIM"" rel=""noopener"" target=""_blank"">ici</a></strong></p>
<p><strong>Rechargeable : Oui</strong></p>
<p><strong>Point d'accès Wifi : Oui</strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011917.png?v=1764155316"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></p>
<p><em>* Illimité MAX : 3Gb par jour. 1MB par secondes après le dépassement de 3Gb. Se renouvelle à chaque jour.</em></p>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 10 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/world_bbdd0aed-c49b-4d13-b900-5196a99437cb.png?v=1783310003,1,"",false,"Meilleure eSIM  Voyage Europe - Forfaits dès  7,95$ CAD","Découvrez les forfaits eSIM pour amérique du Nord: fiables, abordables et prêts à l’emploi. 
Plus de 150 destinations disponibles",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
cuba,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,139.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
cuba,,,,,,,,,Recharges eSIM,,,1 Gb / 10 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
cuba,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,139.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,Afrique,"<p><strong>Ce forfait vous permet de voyager à travers 22 pays d'Afrique!</strong></p>
<p><strong>Incluant : Afrique du sud, Algérie, Bénin, Burkina Faso, Cameroun, Cote d'Ivoire, Égypte, Gabon, Ghana, Kenya, Madagascar, Mali, Maroc, Mozambique, , Niger, Nigéria, Ouganda, République Centre africaine, Sénégal, Tanzanie Tunisie, Zambie</strong><strong></strong></p>
<p><strong>Forfaits eSIM de données. Aucun numéro de téléphone attribué.</strong></p>
<p><strong>Début de la période de validité: Première connexion au réseau de destination.</strong></p>
<p><strong>Appareils compatible : Voir la liste <a href=""https://quebecesim.ca/pages/appareils-compatibles"" title=""Appareils compatibles eSIM"" rel=""noopener"" target=""_blank"">ici</a></strong></p>
<p><strong>Rechargeable : Oui</strong></p>
<p><strong>Point d'accès Wifi : Oui</strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011917.png?v=1764155316"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></p>
<p><em>* Illimité MAX : 3Gb par jour. 1MB par secondes après le dépassement de 3Gb. Se renouvelle à chaque jour.</em></p>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,15.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/Africa-globe-map.png?v=1783309067,1,"",false,"Meilleure eSIM  Voyage Europe - Forfaits dès  7,95$ CAD","Découvrez les forfaits eSIM pour amérique du Nord: fiables, abordables et prêts à l’emploi. 
Plus de 150 destinations disponibles",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
afrique,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,36.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,,,,,,,,,Forfaits eSIM,,,5Gb / 30 jours,,,,,,0.0,,0,continue,manual,59.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,,,,,,,,,Forfaits eSIM,,,10Gb / 30 jours,,,,,,0.0,,0,continue,manual,98.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,15.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,36.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,,,,,,,,,Recharges eSIM,,,5Gb / 30 jours,,,,,,0.0,,0,continue,manual,59.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
afrique,,,,,,,,,Recharges eSIM,,,10Gb / 30 jours,,,,,,0.0,,0,continue,manual,98.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,Amérique du Nord,"<p><strong>Ce forfait vous permet de voyager à travers 3 pays d'Amérique du Nord!</strong></p>
<p><strong>Incluant : Canada, États-Unis, Mexique</strong></p>
<p><strong>Forfaits eSIM de données. Aucun numéro de téléphone attribué.</strong></p>
<p><strong>Début de la période de validité: Première connexion au réseau de destination.</strong></p>
<p><strong>Appareils compatible : Voir la liste <a href=""https://quebecesim.ca/pages/appareils-compatibles"" title=""Appareils compatibles eSIM"" rel=""noopener"" target=""_blank"">ici</a></strong></p>
<p><strong>Rechargeable : Oui</strong></p>
<p><strong>Point d'accès Wifi : Oui</strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011917.png?v=1764155316"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></p>
<p><em>* Illimité MAX : 3Gb par jour. 1MB par secondes après le dépassement de 3Gb. Se renouvelle à chaque jour.</em></p>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,8.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1306029-world-908894_1280.png?v=1770430252,1,"",false,"Meilleure eSIM  Voyage Europe - Forfaits dès  7,95$ CAD","Découvrez les forfaits eSIM pour amérique du Nord: fiables, abordables et prêts à l’emploi. 
Plus de 150 destinations disponibles",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
amerique-du-nord,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,14.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Forfaits eSIM,,,5Gb / 30 jours,,,,,,0.0,,0,continue,manual,24.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Forfaits eSIM,,,10Gb / 30 jours,,,,,,0.0,,0,continue,manual,39.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Forfaits eSIM,,,20Gb / 30 jours,,,,,,0.0,,0,continue,manual,59.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Forfaits eSIM,,,Illimité MAX  / 30 jours*,,,,,,0.0,,0,continue,manual,139.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,8.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,14.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Recharges eSIM,,,5Gb / 30 jours,,,,,,0.0,,0,continue,manual,24.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Recharges eSIM,,,10Gb / 30 jours,,,,,,0.0,,0,continue,manual,39.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Recharges eSIM,,,20Gb / 30 jours,,,,,,0.0,,0,continue,manual,59.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
amerique-du-nord,,,,,,,,,Recharges eSIM,,,Illimité MAX  / 30 jours*,,,,,,0.0,,0,continue,manual,139.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,Croisière + Caraïbes + Amériques,"<p><strong>Forfaits croisières + escales disponibles avec les compagnies suivante :</strong></p>
<blockquote>
<h5><em>Aroya Cruises, Azamara, Carnival Cruise Line, Celebrity Cruises, CFC, Cordelia Cruises, Disney CruiseLine,</em></h5>
<h5><em>Explora Journeys, Fred Olsen Cruise Line, Hapag-Lloyd Cruises, Holland America Line, Japan Grace, </em></h5>
<h5><em>MSC Cruises, Norwegian Cruise Line, Oceania Cruises, P&amp;O Ferries Cruises, Princess Cruises, Regent Seven Seas Cruises, Ritz-Carlton Yacht Collection, Royal Caribbean International, Seabourn, Silversea Cruises, TUI Cruises, Virgin Voyages, Windstar Cruises</em></h5>
<p><strong><em>Destinations couvertes :</em></strong></p>
<p><strong><em> </em></strong></p>
<p><strong><em><span>Caraibes : </span></em></strong></p>
<p><strong><em><span>Anguilla, Antigua et Barbuda, Antilles Néerlandaise, Bahamas, Barbade, Bonaire, Curaçao, Dominique, Guadeloupe, Iles Cayman, Iles Turc et Caicos , Iles Vierges des États-Unis, Iles Vierges Britannique, Jamaïque, Grenada, Martinique, Montserrat, , Porto Rico, République Dominicaine, Saint Barthélémy, Saint Kitt et Nevis, Sainte Lucie, Saint Martin, Sint Maarten, Saint Vincent et les Grenadines</span></em></strong></p>
<p><strong><em><span>Amérique du central et sud :</span></em></strong></p>
<p><strong><em><span>Argentine, Brésil, Chili, Colombie, Costa Rica, Équateur, Guatemala, Honduras, Nicaragua, Panama, Pérou, Uruguay, Vénézuela</span></em></strong></p>
<p><strong><em><span>Amérique du Nord:</span></em></strong></p>
<p><strong><em><span>Canada, États-Unis, Mexique</span></em></strong></p>
</blockquote>
<p><strong><em>Point Important : Veuillez prendre note que lors de l'utilisation d'une eSIM Croisière, dans un zone de 22km des cotes, la connexion peut s'avérer faible ou inexistante. En effet, à l'approche des côtes, le navire doit désactiver le ''Wifi en mer'' et la connexion terrestre peut s'avérer faible. Votre connexion se rétablira a l'arrivée au port ou une fois votre navire a plus de 22km des côtes. </em></strong></p>
<blockquote>
<p> </p>
</blockquote>
<p><strong>Type de forfait</strong><em><strong> :  eSIM de données. Aucun numéro de téléphone attribué.</strong></em></p>
<p><strong>Période d'achat : <em>30 jours avant l'activation maximum</em></strong></p>
<p><strong>Début de la période de validité : <em>Première connexion au réseau de destination</em></strong></p>
<p><strong>Appareils compatible : <em>Voir la liste <a rel=""noopener"" title=""Appareils compatibles eSIM"" href=""https://quebecesim.ca/pages/appareils-compatibles"" target=""_blank"">ici</a></em></strong></p>
<p><strong>Rechargeable :<em> Oui</em></strong></p>
<p><strong>Point d'accès Wifi : <em>Oui</em></strong></p>
<p> </p>
<p> </p>
<h5><strong style=""font-size: 14px;""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/4g.webp?v=1765312682"" alt="""" width=""47"" height=""47""><img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011916.png?v=1764155325"" alt="""" width=""47"" height=""47""></strong></h5>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,https://cdn.shopify.com/s/files/1/0646/4038/5102/files/ChatGPTImage3juill.2026_11h44min08s.png?v=1783093465,1,"",false,Quebecesim / Forfaits eSIM pour vos voyages!,"Quebecesim.ca : Découvrez l'ensemble des forfaits eSIM pour plus de 150 destinations avec Québecesim! Forfaits mondials, régions du monde et par pays.",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Forfaits eSIM,,,2 Gb / 10 jours,,,,,,0.0,,0,continue,manual,99.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,137.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Forfaits eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,229.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Recharges eSIM,,,1 Gb / 7 jours,,,,,,0.0,,0,continue,manual,49.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Recharges eSIM,,,2 Gb / 10 jours,,,,,,0.0,,0,continue,manual,99.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Recharges eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,137.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
croisiere-caraibes-et-amerique-du-nord,,,,,,,,,Recharges eSIM,,,5 Gb / 30 jours,,,,,,0.0,,0,continue,manual,229.95,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
haiti,Haïti,"<p><strong>Type de forfait</strong><em><strong> :  eSIM de données. Aucun numéro de téléphone attribué.</strong></em></p>
<p><strong>Période d'achat : <em>30 jours avant l'activation maximum</em></strong></p>
<p><strong>Début de la période de validité : <em>Première connexion au réseau de destination</em></strong></p>
<p><strong>Appareils compatible : <em>Voir la liste <a rel=""noopener"" title=""Appareils compatibles eSIM"" href=""https://quebecesim.ca/pages/appareils-compatibles"" target=""_blank"">ici</a></em></strong></p>
<p><strong>Rechargeable :<em> Oui</em></strong></p>
<p><strong>Point d'accès Wifi : <em>Oui</em></strong></p>
<p><strong>     <img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/telecharger_53.png?v=1772790185"" alt="""" width=""47"" height=""31"">   <img src=""https://cdn.shopify.com/s/files/1/0646/4038/5102/files/1000011917.png?v=1764155316"" alt="""" width=""43"" height=""43""></strong></p>
<h5>* Illimité MAX : 3Gb par jour. 1MB par secondes après le dépassement de 3Gb. Se renouvelle à chaque jour.</h5>",Québec eSim,Electronics > Communications > Telephony > Mobile & Smart Phone Accessories > Mobile Phone Pre-Paid Cards & SIM Cards,"","",false,Types de forfaits,Forfaits eSIM,,Forfaits disponibles,1 Gb / 10 jours,,,,,,0.0,,0,continue,manual,25.95,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0646/4038/5102/files/haiti-circle-flag-vector-images-600nw-2535277673_aa86182b-7d8b-4fb3-b34e-3c95cc6be16a.webp?v=1772790271,1,"",false,Quebecesim / Forfaits eSIM pour vos voyages!,"Quebecesim.ca : Découvrez l'ensemble des forfaits eSIM pour plus de 150 destinations avec Québecesim! Forfaits mondials, régions du monde et par pays.",6030,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,draft
haiti,,,,,,,,,Forfaits eSIM,,,3Gb / 15 jours,,,,,,0.0,,0,continue,manual,59.95,,false,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,
